aX,aY,aZ,gX,gY,gZ
1.421,0.348,-0.041,19.958,-86.731,67.444
1.407,0.305,-0.007,24.170,-75.500,61.951
1.392,0.259,0.025,26.978,-61.279,56.519
1.443,0.425,-0.050,27.039,-47.607,53.162
1.413,0.406,-0.052,28.076,-33.386,62.622
1.474,0.489,-0.164,23.621,-27.588,64.270
1.558,0.514,-0.152,19.714,-15.747,62.622
1.609,0.535,-0.168,11.658,-12.512,56.335
1.626,0.486,-0.151,7.019,-10.559,44.312
1.572,0.439,-0.211,3.479,-9.521,29.053
1.495,0.330,-0.102,-0.122,-4.822,13.916
1.404,0.274,-0.026,-5.493,-1.282,-1.831
1.318,0.306,0.023,-16.541,-3.479,-15.259
1.248,0.333,0.082,-26.306,-9.766,-20.203
1.258,0.338,0.102,-27.344,-14.404,-23.437
1.250,0.352,0.139,-25.024,-15.991,-25.452
1.221,0.424,0.131,-26.001,-19.226,-26.001
1.269,0.513,0.085,-27.832,-23.254,-26.611

0.884,0.181,0.092,-7.568,2.319,13.977
0.936,0.212,0.028,-7.874,5.249,20.935
1.029,0.176,0.074,-5.920,5.310,27.954
1.076,0.214,0.072,-9.460,0.122,31.555
1.109,0.252,0.083,-11.841,-7.874,31.006
1.136,0.266,0.116,-10.498,-14.160,29.663
1.172,0.274,0.142,-6.348,-17.334,25.574
1.219,0.278,0.173,-1.099,-17.883,19.409
1.264,0.305,0.196,5.005,-18.433,13.184
1.318,0.341,0.224,13.306,-16.846,6.287
1.381,0.371,0.264,23.560,-13.733,0.061
1.455,0.427,0.234,34.485,-10.193,-4.822
1.528,0.433,0.183,46.448,-3.967,-7.629
1.621,0.434,0.078,52.429,3.174,-9.888
1.711,0.486,0.064,47.729,13.611,-13.245
1.782,0.529,-0.006,43.274,27.954,-16.907
1.842,0.525,0.016,41.992,46.387,-18.616
1.884,0.571,-0.006,33.936,55.664,-21.240
1.944,0.594,-0.018,25.330,56.763,-23.193
1.992,0.584,-0.033,21.667,54.749,-22.705
1.993,0.546,-0.039,21.484,51.697,-22.217
1.964,0.502,-0.042,21.118,48.096,-25.330
1.902,0.452,-0.051,18.921,45.166,-32.593
1.837,0.399,-0.026,16.968,45.105,-40.955
1.764,0.331,-0.026,15.137,45.227,-48.645
1.673,0.264,-0.024,11.292,44.373,-56.091
1.544,0.232,-0.010,4.822,43.945,-62.927
1.410,0.245,-0.008,-1.709,44.678,-66.956
1.276,0.240,0.014,-7.751,47.668,-65.918
1.208,0.225,0.042,-14.099,51.880,-61.768
1.171,0.253,0.061,-15.869,56.152,-56.152
1.126,0.278,0.083,-12.939,59.631,-46.509
1.103,0.280,0.083,-9.644,60.547,-33.936
1.128,0.297,0.075,-8.545,59.021,-25.208
1.156,0.257,0.047,-8.789,58.533,-24.902
1.165,0.204,0.020,-9.338,61.340,-34.912
1.105,0.243,-0.026,-13.123,64.819,-49.561
1.015,0.269,-0.066,-18.066,68.054,-58.838
0.958,0.277,-0.077,-23.804,70.313,-62.073
0.916,0.290,-0.073,-29.846,72.205,-63.599
0.867,0.303,-0.092,-35.461,73.059,-65.857
0.831,0.322,-0.097,-39.368,72.144,-69.519
0.797,0.314,-0.094,-42.725,67.932,-72.754
0.755,0.296,-0.102,-46.387,59.753,-77.209
0.691,0.285,-0.100,-50.232,49.255,-82.092
0.605,0.284,-0.082,-55.115,37.964,-87.830
0.505,0.296,-0.071,-59.998,28.687,-92.041
0.409,0.294,-0.067,-61.951,22.705,-94.360
0.328,0.239,-0.061,-60.852,21.362,-97.351
0.255,0.193,-0.057,-59.875,23.193,-100.342
0.146,0.155,-0.039,-58.838,26.245,-101.563
0.060,0.105,-0.028,-56.519,29.724,-100.586
-0.011,0.041,-0.019,-53.772,34.363,-96.497
-0.059,-0.034,-0.015,-51.208,38.513,-90.393
-0.079,-0.148,-0.011,-47.974,41.809,-84.717
-0.080,-0.117,0.010,-45.044,42.969,-82.458
-0.113,-0.133,0.013,-45.227,38.086,-75.134
-0.163,-0.162,0.018,-46.326,28.015,-62.927
-0.206,-0.194,0.037,-45.105,19.714,-50.659
-0.225,-0.194,0.031,-44.189,11.108,-39.368
-0.207,-0.237,0.043,-40.588,8.728,-25.635
-0.119,-0.226,0.044,-34.607,11.475,-11.902
0.008,-0.150,0.026,-27.771,12.634,3.052
0.099,-0.121,0.008,-19.531,12.329,19.226
0.156,-0.151,0.026,-9.827,11.841,30.701
0.188,-0.121,0.007,-2.991,6.592,32.532
0.172,-0.075,-0.016,1.953,-0.427,31.555
0.157,-0.021,-0.009,8.179,-4.578,32.349
0.130,-0.048,-0.020,13.428,-10.559,37.659
0.172,-0.017,-0.029,17.944,-15.686,37.292
0.230,-0.082,-0.051,18.494,-20.630,36.804
0.264,-0.034,-0.049,18.250,-24.780,38.147
0.304,-0.010,-0.042,18.799,-27.466,39.917
0.338,-0.007,-0.015,23.010,-27.771,44.250
0.375,0.026,-0.006,29.358,-27.771,44.800
0.425,0.046,-0.012,34.973,-28.625,45.532
0.475,0.036,-0.032,40.588,-31.311,46.997
0.496,0.047,-0.072,43.274,-37.415,49.744
0.516,0.079,-0.110,42.725,-45.410,53.467
0.587,0.074,-0.143,41.260,-52.429,58.350
0.666,0.022,-0.161,40.039,-57.739,63.843
0.706,0.003,-0.179,38.269,-61.157,67.810
0.737,-0.002,-0.177,34.729,-61.646,67.932
0.773,-0.017,-0.145,31.189,-60.181,64.880
0.794,-0.030,-0.122,28.381,-57.556,60.974
0.818,-0.041,-0.112,25.940,-55.298,57.861
0.817,-0.016,-0.133,22.888,-54.810,54.688
0.805,0.053,-0.179,18.372,-54.810,53.162
0.822,0.122,-0.219,14.038,-53.223,54.871
0.912,0.152,-0.219,8.972,-50.537,59.875
1.034,0.161,-0.193,5.005,-47.546,66.040
1.114,0.131,-0.183,4.089,-44.434,71.350
1.145,0.101,-0.189,4.944,-40.344,71.533
1.185,0.058,-0.165,5.737,-35.095,65.796
1.199,0.026,-0.133,6.470,-34.119,58.411
1.152,0.009,-0.091,6.714,-41.199,53.833
1.174,0.176,-0.116,2.869,-52.856,54.871
1.240,0.387,0.043,4.883,-57.556,62.073
1.262,0.450,-0.017,-0.793,-79.651,90.820
1.318,0.337,-0.046,-12.634,-114.502,117.188
1.451,0.367,0.043,-5.493,-121.399,111.145
1.513,0.413,0.090,-0.122,-109.985,94.910
1.459,0.386,0.096,1.282,-92.163,83.252
1.464,0.302,0.165,3.601,-73.242,70.923
1.565,0.436,0.224,10.193,-58.472,64.880
1.469,0.361,0.277,17.761,-54.443,75.806
1.499,0.442,0.214,22.461,-59.753,75.623
1.568,0.525,0.195,24.780,-60.547,74.890
1.622,0.613,0.082,22.644,-58.899,75.928
1.646,0.579,0.123,17.456,-51.880,75.867
1.641,0.512,0.159,7.446,-43.457,63.660
1.666,0.418,0.229,-2.319,-32.043,37.659
1.619,0.422,0.190,-13.062,-22.583,10.010
1.528,0.443,0.273,-19.409,-14.221,-5.615
1.438,0.465,0.230,-20.325,-10.864,-6.958
1.401,0.402,0.370,-13.000,-4.517,-4.761
1.385,0.448,0.337,-8.057,-7.141,-3.967
1.335,0.454,0.317,-4.822,-12.939,-2.197
1.324,0.453,0.285,0.061,-15.747,-2.441

1.611,0.424,0.220,23.865,42.847,-6.226
1.724,0.493,0.167,30.762,62.744,-25.452
1.789,0.419,0.094,23.071,75.684,-39.490
1.827,0.384,0.067,12.146,74.158,-50.842
1.786,0.379,0.083,4.150,63.171,-60.303
1.701,0.384,0.113,0.061,48.767,-68.542
1.542,0.400,0.136,2.258,35.095,-72.876
1.375,0.391,0.147,8.118,24.109,-70.801
1.280,0.322,0.169,13.855,19.348,-63.477
1.201,0.255,0.175,17.944,21.484,-53.040
1.208,0.267,0.211,18.005,28.748,-42.053
1.234,0.332,0.248,19.104,36.743,-32.654
1.282,0.355,0.268,25.269,44.373,-26.733
1.308,0.339,0.222,35.095,50.232,-25.146
1.302,0.282,0.108,42.358,54.138,-24.719
1.315,0.224,0.016,41.199,57.983,-23.193
1.326,0.146,-0.132,34.485,60.303,-23.437
1.346,0.127,-0.094,22.705,61.951,-26.001
1.368,0.121,-0.191,8.301,60.974,-31.250
1.406,0.109,-0.202,1.160,69.092,-37.598
1.464,0.097,-0.175,-4.395,75.378,-40.649
1.483,0.123,-0.157,-8.972,70.557,-41.016
1.453,0.159,-0.156,-12.817,55.298,-41.199
1.384,0.180,-0.169,-13.550,34.973,-39.856
1.291,0.175,-0.214,-12.085,16.357,-38.757
1.176,0.197,-0.221,-12.146,4.822,-38.635
1.121,0.060,-0.129,-13.489,1.282,-40.405
1.046,0.040,-0.119,-22.766,4.272,-45.227
0.969,0.073,-0.043,-33.386,10.559,-52.734
0.906,0.116,0.004,-41.077,15.869,-60.242
0.878,0.106,0.008,-46.753,17.944,-64.209
0.820,0.136,0.004,-50.720,18.066,-64.270
0.724,0.184,0.018,-53.650,16.357,-58.044
0.671,0.184,0.015,-54.932,14.465,-48.157
0.665,0.197,0.044,-52.307,15.320,-40.283
0.656,0.267,0.098,-48.706,17.883,-37.537
0.662,0.293,0.110,-35.522,22.888,-39.917
0.719,0.249,0.042,-20.691,29.114,-46.448
0.728,0.271,0.033,-21.484,29.114,-55.664
0.636,0.307,0.092,-24.292,24.658,-64.270
0.562,0.321,0.099,-16.174,24.048,-70.679
0.482,0.279,0.092,-6.592,26.855,-73.669
0.380,0.195,0.021,-2.014,33.630,-76.355
0.379,0.061,0.027,3.357,48.218,-79.224
0.392,-0.031,0.020,-2.930,54.138,-83.496
0.373,-0.030,0.012,-23.071,49.500,-85.144
0.323,0.029,0.012,-42.786,42.053,-80.750
0.278,0.064,0.065,-49.805,35.339,-72.266
0.231,0.085,0.097,-47.180,30.151,-61.096
0.198,0.059,0.127,-37.781,26.917,-49.316
0.184,-0.016,0.102,-26.917,20.142,-38.452
0.151,-0.144,0.054,-19.470,10.376,-28.198
0.158,-0.178,0.071,-12.390,5.310,-23.437
0.134,-0.210,0.006,-9.827,1.892,-20.447
0.092,-0.247,-0.019,-7.751,2.197,-10.803
0.091,-0.286,-0.047,-3.662,9.338,-2.319
0.120,-0.341,-0.090,-5.005,15.747,5.615
0.233,-0.303,-0.107,-12.390,18.311,15.076
0.351,-0.243,-0.094,-20.813,14.771,23.499
0.387,-0.164,-0.103,-26.367,4.272,27.649
0.412,-0.079,-0.097,-29.297,-9.277,30.334
0.432,-0.027,-0.086,-23.437,-19.836,35.828
0.435,-0.013,-0.096,-11.536,-26.001,41.199
0.445,-0.072,-0.114,2.441,-27.344,44.739
0.484,-0.130,-0.121,15.076,-24.109,42.725
0.513,-0.096,-0.148,20.569,-19.348,37.170
0.496,-0.107,-0.139,22.827,-14.954,36.316
0.506,-0.059,-0.122,25.330,-12.329,31.738
0.494,-0.068,-0.114,23.621,-11.597,31.189
0.451,-0.036,-0.076,21.423,-12.512,32.471
0.439,0.002,0.012,16.663,-14.465,32.959
0.494,0.043,0.033,14.221,-15.076,38.574
0.572,0.021,0.054,21.606,-15.198,48.889
0.620,-0.024,0.036,32.288,-17.639,60.303
0.646,-0.032,0.005,39.307,-21.057,69.397
0.668,-0.013,-0.012,43.274,-24.536,75.134
0.681,-0.009,-0.012,46.448,-27.466,77.637
0.672,-0.019,-0.036,48.767,-30.457,76.843
0.636,-0.004,-0.060,47.974,-33.875,73.975
0.601,0.062,-0.071,43.579,-37.048,70.496
0.614,0.099,-0.061,38.513,-38.696,69.458
0.656,0.048,-0.064,32.593,-36.865,71.655
0.657,0.047,-0.084,26.917,-29.480,73.547
0.691,0.060,-0.049,24.048,-17.090,72.266
0.777,0.057,0.003,24.658,-3.296,71.655
0.827,0.084,0.027,29.724,7.507,71.777
0.853,0.129,0.030,40.100,12.390,70.190
0.871,0.170,0.017,50.903,10.193,67.871
0.908,0.246,-0.021,57.251,3.235,66.162
0.971,0.311,-0.091,61.096,-4.272,64.575
1.048,0.372,-0.121,60.425,-11.475,63.782
1.174,0.310,-0.182,51.514,-17.700,66.101
1.235,0.264,-0.229,28.748,-22.278,66.223
1.251,0.224,-0.202,9.583,-22.705,61.096
1.280,0.173,-0.225,-4.150,-21.362,52.063
1.411,0.419,0.110,-6.042,-16.357,46.326
1.308,0.472,0.155,-15.259,-40.710,72.449
1.257,0.414,0.097,-19.653,-78.552,93.811
1.384,0.536,0.052,2.319,-98.511,75.623
1.465,0.631,0.071,22.644,-103.333,62.622
1.477,0.613,0.057,30.396,-106.934,66.345
1.592,0.710,0.048,29.663,-109.009,75.317
1.520,0.463,0.083,27.466,-108.154,98.267
1.545,0.438,0.074,27.283,-101.440,91.003
1.534,0.353,0.107,28.503,-87.524,78.491
1.496,0.338,0.173,21.667,-73.608,64.575
1.424,0.359,0.162,10.193,-63.110,50.781
1.399,0.488,0.161,-4.028,-52.856,39.001
1.354,0.473,0.222,-13.367,-36.743,30.945
1.399,0.514,0.312,-16.235,-17.700,15.930
1.460,0.700,0.280,-18.433,-10.193,-2.686
1.441,0.742,0.256,-15.991,-11.841,-4.639
1.405,0.643,0.236,-7.935,-15.442,1.038
1.371,0.531,0.289,2.075,-11.353,5.920
1.314,0.515,0.239,6.714,-8.057,6.348
1.256,0.477,0.204,5.737,-7.935,3.418
1.216,0.388,0.157,7.080,-7.202,-1.953
1.203,0.337,0.108,5.310,-8.606,-7.446
1.143,0.323,0.094,-0.549,-12.390,-6.104

0.905,0.318,0.213,-2.991,1.343,0.671
0.920,0.191,0.137,1.953,2.686,2.869
0.933,0.140,0.142,0.183,1.160,4.639
0.927,0.207,0.182,-4.089,-1.953,3.906
0.980,0.241,0.186,-7.568,-2.197,5.798
1.067,0.249,0.202,-8.545,-1.160,11.353
1.131,0.241,0.216,-6.958,0.183,15.320
1.258,0.259,0.239,-5.371,-0.977,16.357
1.372,0.302,0.265,-4.028,-5.981,15.564
1.460,0.369,0.297,-0.305,-9.888,11.353
1.577,0.412,0.365,7.751,-11.047,4.150
1.638,0.458,0.338,18.433,-12.512,-3.174
1.698,0.485,0.293,26.611,-12.451,-9.094
1.766,0.552,0.234,30.518,-7.324,-14.404
1.845,0.619,0.186,30.579,5.493,-18.127
1.924,0.621,0.209,28.442,26.550,-21.118
1.997,0.664,0.150,21.606,42.053,-29.419
2.049,0.712,0.190,12.878,53.284,-38.330
2.087,0.709,0.187,12.024,54.138,-45.410
2.063,0.650,0.192,15.442,46.387,-50.232
1.969,0.599,0.153,18.188,34.851,-55.298
1.842,0.538,0.115,17.090,23.987,-62.195
1.725,0.478,0.080,11.536,17.822,-71.228
1.598,0.409,0.053,8.362,20.508,-78.857
1.478,0.320,0.049,5.920,29.541,-83.008
1.371,0.232,0.063,2.319,41.138,-83.801
1.302,0.148,0.102,-2.502,48.218,-83.191
1.258,0.114,0.051,-7.568,45.288,-82.825
1.236,0.111,0.027,-11.353,41.382,-79.285
1.188,0.109,-0.005,-12.878,37.231,-73.486
1.131,0.084,0.022,-14.343,33.203,-68.359
1.083,0.122,0.045,-18.494,25.696,-66.345
1.019,0.161,0.050,-20.264,19.348,-65.735
0.946,0.167,0.037,-15.015,19.043,-65.674
0.892,0.154,0.033,-9.338,21.545,-64.270
0.867,0.119,0.031,-6.653,26.001,-63.171
0.855,0.085,0.034,-6.653,31.311,-65.857
0.820,0.088,0.027,-8.545,36.011,-71.045
0.777,0.085,0.036,-9.888,41.870,-74.646
0.759,0.066,0.038,-10.864,48.462,-76.416
0.738,0.088,0.026,-12.268,53.589,-77.759
0.712,0.121,0.043,-12.878,55.908,-77.759
0.694,0.122,0.053,-13.245,52.307,-75.684
0.671,0.109,0.025,-17.822,38.940,-70.740
0.627,0.113,0.022,-23.132,23.926,-66.101
0.588,0.109,0.034,-28.320,14.587,-64.026
0.521,0.110,0.014,-32.959,12.512,-63.477
0.446,0.084,-0.014,-38.025,17.212,-63.538
0.402,0.072,-0.037,-45.288,28.625,-64.575
0.364,0.063,-0.024,-54.077,44.678,-67.566
0.353,0.037,0.009,-63.049,58.716,-72.205
0.371,0.037,0.045,-68.604,67.139,-78.674
0.367,0.047,0.092,-65.186,69.336,-81.848
0.318,0.034,0.089,-53.772,61.279,-79.163
0.253,-0.002,0.059,-41.199,47.668,-70.923
0.177,-0.065,0.003,-31.372,33.142,-59.509
0.114,-0.111,-0.042,-26.978,22.583,-47.607
0.057,-0.152,-0.066,-26.184,18.921,-35.522
