aX,aY,aZ,gX,gY,gZ
0.373,1.153,-0.303,-36.438,57.678,50.354
0.377,1.201,-0.484,-45.654,58.594,46.143
0.417,1.454,-0.542,-50.781,64.880,42.053
0.341,1.384,-0.263,-48.157,90.393,70.007
0.449,1.477,-0.112,-50.964,89.355,85.999
0.582,1.731,-0.026,-59.082,63.354,98.022
0.726,1.860,0.040,-60.791,35.278,107.300
0.829,1.869,0.120,-54.749,7.141,111.450
0.887,1.815,0.106,-47.302,-21.301,111.755
0.980,1.664,0.260,-47.424,-44.006,106.812
1.086,1.537,0.339,-56.152,-67.200,98.877
1.163,1.492,0.400,-63.660,-81.055,85.327
1.255,1.404,0.461,-61.096,-81.543,64.331
1.372,1.272,0.529,-51.636,-73.364,37.170
1.410,1.219,0.546,-36.438,-65.125,7.141
1.341,1.220,0.487,-19.348,-62.561,-16.174
1.173,1.183,0.417,-3.784,-64.819,-28.748
0.996,1.073,0.344,6.287,-66.528,-34.241
0.838,0.995,0.212,10.315,-63.354,-38.818
0.678,0.914,0.042,12.756,-49.438,-42.725
0.575,0.774,-0.114,13.794,-25.085,-43.457
0.598,0.653,-0.138,6.836,0.793,-41.565
0.657,0.667,-0.068,-5.432,20.630,-42.114
0.705,0.794,0.052,-13.062,29.480,-45.837
0.729,0.911,0.123,-8.911,24.780,-46.265
0.746,1.007,0.216,6.958,14.648,-40.283
0.771,1.080,0.282,27.283,-1.282,-30.090
0.774,1.139,0.285,43.640,-20.264,-18.250
0.750,1.202,0.219,54.688,-35.461,-11.780
0.729,1.292,0.137,61.951,-40.588,-12.268
0.722,1.322,0.054,69.214,-35.156,-16.418
0.750,1.267,0.040,77.148,-22.522,-23.865
0.764,1.191,0.034,82.703,-9.399,-30.640
0.741,1.128,-0.009,84.900,0.183,-35.461
0.694,1.045,-0.039,85.754,9.705,-36.926
0.734,0.855,0.060,84.534,24.109,-38.147
0.740,0.775,0.086,75.195,28.015,-41.687
